"model";"code";"marque";"deleted_at";"created_at";"updated_at";"famille_article_id"
" LECTEUR MP3 + BLUETOOTH X1783  AUTO";"215194";NULL;NULL;"2023-09-06 12:44:46";"2023-09-06 12:44:46";"215"
"008A";"707024";NULL;NULL;"2023-09-06 14:58:58";"2023-09-06 14:58:58";"707"
"100N03";"101001";NULL;NULL;"2023-09-06 12:37:11";"2023-09-06 12:37:11";"101"
"106 DE FER A SOUDER 100W ORG";"240010";NULL;NULL;"2023-09-06 12:44:18";"2023-09-06 12:44:18";"240"
"106 DE FER A SOUDER 20W ORD";"240014";NULL;NULL;"2023-09-06 12:44:18";"2023-09-06 12:44:18";"240"
"106 DE FER A SOUDER 30W ORD";"240012";NULL;NULL;"2023-09-06 12:44:18";"2023-09-06 12:44:18";"240"
"106 DE FER A SOUDER 40W ORD";"240011";NULL;NULL;"2023-09-06 12:44:18";"2023-09-06 12:44:18";"240"
"106 DE FER A SOUDER 40W ORG";"240013";NULL;NULL;"2023-09-06 12:44:18";"2023-09-06 12:44:18";"240"
"106 DE FER A SOUDER 60W EN SACHET ORG";"240009";NULL;NULL;"2023-09-06 12:44:18";"2023-09-06 12:44:18";"240"
"106 DE FER A SOUDER 60W ORG";"240008";NULL;NULL;"2023-09-06 12:44:18";"2023-09-06 12:44:18";"240"
"10N40 PM";"101002";NULL;NULL;"2023-09-06 12:37:12";"2023-09-06 12:37:12";"101"
"10N60 GM";"101003";NULL;NULL;"2023-09-06 12:37:12";"2023-09-06 12:37:12";"101"
"10N60 PM";"101004";NULL;NULL;"2023-09-06 12:37:12";"2023-09-06 12:37:12";"101"
"10N80 PM";"101005";NULL;NULL;"2023-09-06 12:37:12";"2023-09-06 12:37:12";"101"
"11N60 GM";"101007";NULL;NULL;"2023-09-06 12:37:12";"2023-09-06 12:37:12";"101"
"11N60 PM";"101006";NULL;NULL;"2023-09-06 12:37:12";"2023-09-06 12:37:12";"101"
"11N80 GM";"101009";NULL;NULL;"2023-09-06 12:37:12";"2023-09-06 12:37:12";"101"
"11N80 PM";"101008";NULL;NULL;"2023-09-06 12:37:12";"2023-09-06 12:37:12";"101"
"12N10";"101010";NULL;NULL;"2023-09-06 12:37:12";"2023-09-06 12:37:12";"101"
